[Saturday/July 26/07/2025 00:21:48] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\[Anime Time] Attack On Titan - 50.mkv | length=1436.039 | time=1435.997
[Saturday/July 26/07/2025 12:24:26] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\[Anime Time] Attack On Titan - 51.mkv | length=1436.039 | time=808.996
[Monday/July 28/07/2025 23:48:27] ./[Anime Time] Attack On Titan - 51.mkv | length=1436.039 | time=563.334
[Tuesday/July 29/07/2025 00:01:02] ./[Anime Time] Attack On Titan - 51.mkv | length=1436.039 | time=1423.068
[Tuesday/July 29/07/2025 00:01:18] ./[Anime Time] Attack On Titan - 52.mkv | length=1436.039 | time=99.037
[Tuesday/July 29/07/2025 00:01:37] ./[Anime Time] Attack On Titan - 38.mkv | length=1436.039 | time=10.657
[Tuesday/July 29/07/2025 00:01:54] ./[Anime Time] Attack On Titan - 51.mkv | length=1436.039 | time=1435.997
[Tuesday/July 29/07/2025 00:02:54] [Anime Time] Attack On Titan - 52.mkv | length=1436.039 | time=128.066
[Tuesday/July 29/07/2025 00:04:05] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\[Anime Time] Attack On Titan - 51.mkv | length=1436.039 | time=1435.997
[Tuesday/July 29/07/2025 00:26:37] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\[Anime Time] Attack On Titan - 52.mkv | length=1436.039 | time=1435.997
[Tuesday/July 29/07/2025 01:04:05] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\[Anime Time] Attack On Titan - 53.mkv | length=1436.039 | time=1435.997
[Tuesday/July 29/07/2025 01:21:14] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\[Anime Time] Attack On Titan - 54.mkv | length=1436.039 | time=1332.894
[Tuesday/July 29/07/2025 01:35:06] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\[Anime Time] Attack On Titan - 55.mkv | length=1436.039 | time=1330.433
[Tuesday/July 29/07/2025 01:56:31] C:\Users\gal\Downloads\[Anime Time] Attack On Titan (Complete Series) (S01-S04+OVA) [Dual Audio][BD][1080p][HEVC 10bit x265][AAC][Eng Sub]\[Anime Time] Attack on titan (Season 03)\[Anime Time] Attack On Titan - 56.mkv | length=1436.039 | time=1309.746
